,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
7714,Sarah McLachlan,I Will Remember You,Closer: The Best Of Sarah McLachlan (Deluxe Version),compilation,0.61,0.35,9.00,-11.48,0.03,0.76,0.00,0.08,0.18,140.06,291400.00
7715,Sarah McLachlan,Don't Let Go,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),album,0.52,0.43,7.00,-9.91,0.03,0.79,0.00,0.10,0.28,111.93,242400.00
7716,Sarah McLachlan,Wintersong,Wintersong,album,0.33,0.14,7.00,-14.99,0.04,0.97,0.00,0.13,0.17,80.63,210907.00
7717,Allman Brothers Band,Midnight Rider,Idlewild South (Deluxe Edition Remastered),album,0.59,0.53,7.00,-9.67,0.03,0.21,0.01,0.23,0.68,94.46,180067.00
7718,Allman Brothers Band,Ramblin' Man,Dreams,album,0.35,0.69,1.00,-11.69,0.03,0.46,0.00,0.20,0.95,179.40,288507.00
7719,Allman Brothers Band,Melissa,Eat A Peach,album,0.53,0.36,4.00,-14.79,0.02,0.48,0.25,0.09,0.45,82.99,235224.00
7720,Allman Brothers Band,Little Martha,Eat A Peach,album,0.49,0.20,11.00,-21.64,0.04,0.97,0.94,0.11,0.58,92.06,127746.00
7721,Allman Brothers Band,Jessica,Dreams,album,0.35,0.75,2.00,-11.02,0.03,0.37,0.74,0.19,0.88,105.06,450600.00
7722,Allman Brothers Band,Ain't Wastin' Time No More,Eat A Peach,album,0.45,0.61,3.00,-13.40,0.03,0.34,0.02,0.10,0.72,91.47,221891.00
7723,Allman Brothers Band,Blue Sky,Eat A Peach,album,0.49,0.47,4.00,-13.45,0.03,0.75,0.75,0.13,0.85,93.96,311704.00
7724,Allman Brothers Band,Soulshine,Where It All Begins,album,0.48,0.56,10.00,-6.50,0.03,0.13,0.01,0.09,0.56,135.62,403507.00
7725,Allman Brothers Band,Whipping Post,The Allman Brothers Band (Deluxe),album,0.32,0.64,4.00,-9.26,0.03,0.33,0.34,0.09,0.58,97.97,317438.00
7726,Allman Brothers Band,Will The Circle Be Unbroken - Live,All My Friends: Celebrating The Songs & Voice Of Gregg Allman,compilation,0.30,0.74,7.00,-7.83,0.05,0.20,0.00,0.91,0.31,128.00,538760.00
7727,El Barrio,Pa' Madrid,La Voz de Mi Silencio,album,0.63,0.94,1.00,-3.07,0.05,0.24,0.00,0.13,0.93,166.93,260185.00
7728,El Barrio,El Adormitar De Los Laureles,Atemporal,album,0.58,0.82,7.00,-4.93,0.11,0.20,0.00,0.47,0.72,169.96,253000.00
7729,El Barrio,Curandero,Atemporal,album,0.81,0.71,3.00,-3.54,0.13,0.29,0.00,0.15,0.82,139.99,246813.00
7730,El Barrio,Las Costuras Del Alma,Las Costuras Del Alma,album,0.58,0.44,4.00,-10.51,0.04,0.74,0.00,0.11,0.29,155.97,232973.00
7731,El Barrio,Orgullo,La Voz de Mi Silencio,album,0.78,0.94,7.00,-4.82,0.05,0.13,0.00,0.11,0.94,108.51,257744.00
7732,El Barrio,Quiereme,Angel Malherido (Edición Especial),album,0.82,0.95,0.00,-5.61,0.09,0.42,0.00,0.60,0.88,109.03,229067.00
7733,El Barrio,A Veces,Atemporal,album,0.55,0.84,5.00,-4.14,0.05,0.12,0.00,0.11,0.38,164.96,259560.00
7734,El Barrio,Vamo Niña Un Poquito,Atemporal,album,0.79,0.83,2.00,-5.01,0.17,0.49,0.00,0.28,0.69,120.05,298173.00
7735,El Barrio,El Licenciao,Atemporal,album,0.65,0.89,10.00,-3.93,0.20,0.16,0.00,0.24,0.79,167.01,288067.00
7736,El Barrio,Amores Maníos,Atemporal,album,0.67,0.88,1.00,-2.72,0.10,0.21,0.00,0.07,0.56,167.99,258013.00
7737,Natalie Cole,This Will Be (An Everlasting Love),Inseparable,album,0.69,0.62,8.00,-11.15,0.04,0.23,0.00,0.03,0.90,126.74,171960.00
7738,Natalie Cole,Miss You Like Crazy,Good To Be Back,album,0.60,0.55,2.00,-6.25,0.03,0.63,0.00,0.07,0.26,131.14,234280.00
7739,Natalie Cole,Unforgettable,Unforgettable: With Love,album,0.29,0.29,5.00,-13.37,0.03,0.85,0.00,0.08,0.14,85.69,210907.00
7740,Natalie Cole,Starting Over Again,Good To Be Back,album,0.58,0.30,0.00,-13.03,0.03,0.82,0.00,0.19,0.18,115.39,253520.00
7741,Natalie Cole,Bachata Rosa,Natalie Cole En Español,album,0.67,0.42,9.00,-8.53,0.03,0.77,0.00,0.21,0.49,111.91,242200.00
7742,Natalie Cole,Fever,Genius Loves Company,album,0.67,0.42,11.00,-10.21,0.21,0.40,0.00,0.12,0.33,133.56,210854.00
7743,Natalie Cole,Our Love Is Here To Stay,Unforgettable: With Love,album,0.40,0.10,0.00,-14.97,0.03,0.86,0.00,0.07,0.14,68.90,209960.00
7744,Natalie Cole,L-O-V-E,Unforgettable: With Love,album,0.58,0.34,7.00,-12.10,0.04,0.54,0.00,0.11,0.59,78.88,151827.00
7745,Natalie Cole,Route 66,Unforgettable: With Love,album,0.67,0.24,5.00,-16.28,0.04,0.51,0.00,0.08,0.65,75.02,181093.00
7746,Natalie Cole,The Very Thought Of You,Unforgettable: With Love,album,0.17,0.15,0.00,-16.23,0.04,0.57,0.00,0.10,0.16,76.12,256960.00
7747,Ronan Keating,When You Say Nothing At All,Ronan,album,0.46,0.45,7.00,-10.67,0.02,0.16,0.00,0.08,0.42,173.86,256827.00
7748,Ronan Keating,If Tomorrow Never Comes,Destination,album,0.56,0.50,10.00,-6.14,0.03,0.33,0.00,0.10,0.27,79.01,214307.00
